,product_name,product_category_tree,image,description,brand,product_specifications
0,Techone+ Portable SE122102-ORANGE USB Led Light,"[""Computers >> Laptop Accessories >> USB Gadgets >> Techone+ USB Gadgets""]","[""http://img6a.flixcart.com/image/usb-gadget/z/7/g/flexible-iconnect-world-1100x1100-imae74uyrffzydeh.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/z/7/g/flexible-iconnect-world-original-imae74uyrffzydeh.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/g/g/6/se122104-orange-techone-original-imaecpkzkhyrzhbx.jpeg"", ""http://img5a.flixcart.com/image/usb-gadget/f/y/t/se122101-orange-techone-original-imaecpkz9tcpawju.jpeg""]","Techone+ Portable SE122102-ORANGE USB Led Light (Orange) Usable with Power Bank, Laptop, USB Port Adaptor, USB Multi Pin Board & USB Port Device.",Techone+,"{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Techone+""}, {""key""=>""Type"", ""value""=>""Led Light""}, {""key""=>""Model Name"", ""value""=>""Portable""}, {""key""=>""Material"", ""value""=>""Plastic""}, {""key""=>""System Requirements"", ""value""=>""5V 1.2W""}, {""key""=>""Model ID"", ""value""=>""SE122102-ORANGE""}, {""key""=>""Color"", ""value""=>""Orange""}, {""key""=>""Weight"", ""value""=>""150 g""}, {""key""=>""Number of Contents in Sales Package"", ""value""=>""Pack of 4""}, {""key""=>""Sales Package"", ""value""=>""4 Usb Led Light""}]}"
1,"The Bread Baker by Breville","[""Home & Kitchen >> Kitchen & Dining >> Bakeware >> Bread & Loaf Pans""]","[""https://assets.breville.com/cdn-cgi/image/width=1300,format=auto/LBM200/LBM200BSS2JAN1/pdp.jpg?pdp""]","Functions: - BREAD MAKING: Easily bake different types of bread. - RAPID MAKING: Quick bread baking for time-saving. - TIME DELAY: Set a specific start time for the bread baking process. - DOUGH MAKING FUNCTION: Prepare dough for various recipes. - GLUTEN FREE: Dedicated function for baking gluten-free bread. - BAKE: Ideal for making cakes and other baked goods. - FRUIT & NUT DISPENSER: Conveniently add fruits and nuts to your bread. - POWER INTERRUPTION PROTECTION: Safeguards against power interruptions.","Breville","A. AUTO MENU: Basic, French, Whole Wheat, Sweet, Express 680g, Express 900g, Yeast Free, Continental, Dough, Gluten Free, Jam, Bake\nB. CRUST COLOUR\nC. LOAF SIZE\nD. Gluten Free: Direct access to gluten-free bread function\nE. Display Screen\nF. TIMER: Set start time in 10-minute increments."
2,"10000mAh XiaoMi Power Bank 2S","Electronics >> Mobiles & Accessories >> Power Banks","[""https://i01.appmifile.com/webfile/globalimg/gaobiyun/productstation/11-4/22.5w-powerbank-blue!800x800!85.png""]","The 10000mAh Mi Power Bank 2S is a high-capacity portable charger featuring a Li-polymer battery and charge and discharge chip. It provides multiple safeguard technologies for over-charge, over-discharge, high temperature, and short circuit protection. The power bank supports fast charging at different voltage levels, with a maximum output of 15W when two output ports are used. It is compatible with most smartphones, tablets, and devices, and offers a safe, efficient, and compatible user experience. The dimensions of the power bank are 147 × 71.2 × 14.2 mm, and it has a micro-USB input port and a USB-A output port. The charging time is approximately 3.5 hours with a 9V/2A or 12V/1.5A adapter and standard cable, or approximately 5.5 hours with a 5V/2A adapter and standard cable.","Mi","Model: PLM09ZM Battery type: Li-polymer battery|Capacity: 10000mAh 3.7V (37Wh) Rated capacity: 6500mAh 5.1V (TYP 1A)|Operating temperature: 0°C~40°C|Input port: Micro-USB|Output port: USB-A|Input: 5.0V 2.0A/9.0V 2.0A/12.0V 1.5A|Output: Single port 5.1V 2.4A/9.0V 1.6A MAX/12.0V 1.2A MAX Dual ports 5.1V 2.4A (15W MAX)|Charging time: approx. 3.5 hrs (9V/2A or 12V/1.5A adapter, standard cable); approx. 5.5 hrs (5V/2A adapter, standard cable)"
3,TRENDnet TEW-752DRU,"[""Computers >> Network Components >> Routers >> TRENDnet Routers""]","[""http://img5a.flixcart.com/image/router/m/h/h/trendnet-tew-752dru-original-imae3gcyqzvgr9hr.jpeg""]",Buy TRENDnet TEW-752DRU only for Rs. 5199 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,TRENDnet,"{""product_specification""=>[{""key""=>""In The Box"", ""value""=>""TEW-752DRU 150Mbps Wireless N Router, Power Adapter, Quick Start Guide""}, {""key""=>""Brand"", ""value""=>""TRENDnet""}, {""key""=>""Model"", ""value""=>""TEW-752DRU""}, {""key""=>""Type"", ""value""=>""Wireless Without modem""}, {""key""=>""Color"", ""value""=>""Black""}, {""key""=>""Wireless Speed"", ""value""=>""600 Mbps""}, {""key""=>""Covered in Warranty"", ""value""=>""Product Dead on Arrival (DOA)""}, {""key""=>""Service Type"", ""value""=>""No return accepted without an RMA number. Trendnet Toll Free 18001020061""}, {""key""=>""Warranty Summary"", ""value""=>""3 years Manufacturers Warranty.""}, {""key""=>""Not Covered in Warranty"", ""value""=>""Any physical Damage and Any 3rd Party Software Upgrade""}, {""key""=>""Number of USB Ports"", ""value""=>""1""}, {""key""=>""Antennae"", ""value""=>""Internal""}]}"
4,Hi-Speed USB 2.0 Hub user manual,"[""Computers >> Laptop Accessories >> USB Gadgets >> Stuffcool USB Gadgets""]","[""https://m.media-amazon.com/images/I/61p7I6zlEtL._AC_SX450_.jpg"",""http://img5a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-1100x1100-imaeeffth7avr39m.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-original-imaeeffth7avr39m.jpeg"", ""http://img5a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-original-imaeefft7zqgkzcg.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-original-imaeefft5ydnmjrb.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-original-imaeefftz6rnygzv.jpeg"", ""http://img6a.flixcart.com/image/usb-gadget/r/h/y/type-c-stuffcool-original-imaeefft35dzeuwy.jpeg""]","Thank you for purchasing the MANHATTAN® Hi-Speed USB 2.0 Hub, Model 160766. Designed to directly accommodate up to seven USB devices (and as many as 127 overall), this handy hub offers flexible and expanded connectivity for desktop and notebook computers. Its high-speed ports are USB 1.1-compatible to support older devices and provide data transfer speeds up to 480 Mbps for external storage, printing and other activities. Featuring a durable plastic case, compact size and an AC power adapter, this hub is easily transportable, adding USB connectivity almost anywhere. Installation is simple with Plug and Play and hot-swappable capabilities, plus a mini-B to A-type USB cable that quickly connects the hub to any USB port. System Requirements: USB-enabled PC or Mac system.",Manhattan,"{""product_specification""=>[{""key""=>""Brand"", ""value""=>""Stuffcool""}, {""key""=>""Type"", ""value""=>""USB Hub""}, {""key""=>""System Requirements"", ""value""=>""4 Port USB 3.0""}, {""key""=>""Material"", ""value""=>""ABS Material""}, {""key""=>""Model Name"", ""value""=>""Troop""}, {""key""=>""Model ID"", ""value""=>""Type C""}, {""key""=>""Color"", ""value""=>""Silver""}, {""key""=>""Warranty Summary"", ""value""=>""6 Months Manufacturing Warranty""}, {""key""=>""Sales Package"", ""value""=>""1 USB Gadget""}]}"
5,Netgear WN2500RP Universal Dual Band Wi-Fi Range Extender,"[""Computers >> Network Components >> Routers >> Netgear Routers""]","[""http://img5a.flixcart.com/image/router/g/4/x/netgear-wn2500rp-original-imadzcpfxbk4pnyc.jpeg"", ""http://img6a.flixcart.com/image/router/g/4/x/netgear-wn2500rp-original-imadzcpfxbk4pnyc.jpeg""]",Buy Netgear WN2500RP Universal Dual Band Wi-Fi Range Extender only for Rs. 8424 from Flipkart.com. Only Genuine Products. 30 Day Replacement Guarantee. Free Shipping. Cash On Delivery!,Netgear,"{""product_specification""=>[{""key""=>""Encryption"", ""value""=>""Wi-Fi Protected Access (WPA/WPA2-PSK), WEP""}, {""key""=>""Wireless Speed"", ""value""=>""600 Mbps""}, {""key""=>""LAN/WAN"", ""value""=>""10/100""}, {""key""=>""Brand"", ""value""=>""Netgear""}, {""key""=>""In The Box"", ""value""=>""Router, Power Adapter, Installation Guide""}, {""key""=>""Model"", ""value""=>""WN2500RP""}, {""key""=>""Controls"", ""value""=>""Push N Connect Button, Power On/Off Button, Reset Button""}, {""key""=>""Installation Features"", ""value""=>""CD-less Installation, Push N Connect using Wi-Fi Protected Setup (WPS)""}, {""key""=>""Supported Software"", ""value""=>""Microsoft Internet Explorer 5.0, Firefox 2.0, Safari 1.4, Google Chrome 11.0""}, {""key""=>""LED Indicator"", ""value""=>""2.4 GHz Connection Strength, Power, 5 GHz Connection Strength, Wireless Device to Extender Connection, Push N Connect (WPS)""}, {""key""=>""Type"", ""value""=>""Range Extenders/Repeaters""}, {""key""=>""Part Number"", ""value""=>""WN2500RP""}, {""key""=>""Domestic Term"", ""value""=>""2 Years""}, {""key""=>""Warranty Summary"", ""value""=>""2 Years Domestic Carry In Warranty""}, {""key""=>""Service Type"", ""value""=>""Carry In""}, {""key""=>""Weight"", ""value""=>""370 g""}, {""key""=>""Height"", ""value""=>""31 mm""}, {""key""=>""Width"", ""value""=>""223 mm""}, {""key""=>""Depth"", ""value""=>""153 mm""}, {""key""=>""Operating System"", ""value""=>""Mac OS, Windows 7""}, {""key""=>""Frequency"", ""value""=>""5 GHz""}, {""key""=>""Number of Antennae"", ""value""=>""4""}, {""key""=>""Number of LAN ports"", ""value""=>""4""}, {""key""=>""Number of USB Ports"", ""value""=>""0""}, {""key""=>""Antennae"", ""value""=>""Internal""}, {""key""=>""Standard IEEE"", ""value""=>""IEEE 802.11a/b/g/n""}, {""key""=>""Certification"", ""value""=>""CEC (California Efficiency), RoHS, WEEE""}]}"
6,"SENCOR SHD 8270 VT Hair Dryer","Beauty & Personal Care >> Hair Care >> Hair Styling Tools >> Hair Dryers","[""https://www.sencor.com/getmedia/cdb841b3-28f2-405d-95b8-64934e7d11cc/SHD-8270VT.jpg.aspx""]","Enjoy a great hairstyle every day with healthier hair using the SENCOR SHD 8270 VT Hair Dryer. It features a professional AC motor and is infused with Argan Oil and Keratin to protect and nourish your hair, leaving it silkier and smoother. With 3 temperature levels, including a low temperature option for extra gentle drying and hydrated hair, and 2 speeds for perfect airflow, this hair dryer ensures efficient and fast drying, reducing drying time by 33%. The cool shot function helps to fix your hairstyle in place. The true ionic function of this hair dryer releases millions of negative ions, resulting in silkier, shinier hair without crinkling. It also enables faster drying and reduces static electricity, making your hair easier to comb and preventing hair damage. Designed for convenience, the hair dryer has an ergonomically shaped handle suitable for both left and right-handers. The removable rear grill makes cleaning easier, and the heating spiral maintains a constant temperature to prevent hair damage. It also includes a hanging loop for easy storage and comes with accessories, including two slim concentrators for hair drying and shaping, and a volume diffuser. Other specifications include a 3-meter long power cord, a power input of 2400 W, and dimensions of 270 × 240 × 95 mm. The weight of the hair dryer is 990 g.",SENCOR,"Professional AC motor, Argan Oil and Keratin protection, 3 temperature levels, 2 speeds, cool shot function, true ionic function, ergonomically shaped handle, removable rear grill, heating spiral, hanging loop, thermal fuse, accessories (2 slim concentrators and volume diffuser), power cord length: 3 m, power input: 2400 W, dimensions: 270 × 240 × 95 mm, weight: 990 g"
7,"DUALSHOCK®4 Wireless Controller Instruction Manual","['Electronics >> Video Games >> PlayStation 4 >> Accessories >> Gamepads']","[""https://m.media-amazon.com/images/I/71Liv-br3iL._AC_SX679_.jpg""]","The DUALSHOCK®4 Wireless Controller is a high-quality gaming controller designed for use with the PlayStation 4 console. It offers comfortable and precise control during gameplay with its ergonomic design and intuitive layout. The built-in speaker enhances the gaming experience with immersive audio feedback. The light bar changes colors to indicate in-game events. Enjoy wireless gaming without cables and rechargeable battery for uninterrupted play. The DUALSHOCK®4 Wireless Controller is the perfect companion for action-packed adventures and multiplayer battles.","Sony Interactive Entertainment Inc.","Input power rating: DC 5 V, 800 mA; Battery type: Built-in rechargeable Lithium-Ion battery; Voltage: DC 3.65 V; Battery capacity: 1,000 mAh; Operating temperature: 5°C – 35°C; Mass: Approx. 210 g; Country of Production: China"
8,STEAMGLIDE ULTRA STEAM IRON,"[""Home & Kitchen >> Home Appliances >> Irons >> crompton Irons >> crompton CG aristo Steam Iron (blue)""]","[""http://img6a.flixcart.com/image/iron/s/q/w/crompton-cg-aristo-original-imaegwquz9ygehjg.jpeg"", ""http://img5a.flixcart.com/image/iron/s/q/w/crompton-cg-aristo-original-imaegwquz9ygehjg.jpeg""]","""Specifications of STEAMGLIDE ULTRA STEAM IRON In The Box Sales Package iron General Brand STEAMGLIDE ULTRA STEAM IRON comfort Features STEAM IRONING When steam ironing, you must set the temperature control dial above silk/wool, to ensure the iron is in the steam temperature range. COOL SPRAY MIST: Water spotting affects some fabrics. BURST OF STEAM Burst of steam works with both dry and steam ironing. DRY IRONING If you are going to be dry ironing only, there is no need to fill the water tank. VERTICAL STEAM Vertical steaming removes wrinkles from hanging clothes, hanging curtains, and furnishing fabrics. SELF CLEAN To prevent residues building up, use the Self Clean button regularly""",STEAMGLIDE,"{""product_specification""=>[{""key""=>""Sales Package"", ""value""=>""1iron""}, {""key""=>""Brand"", ""value""=>""crompton""}, {""key""=>""Model"", ""value""=>""CG aristo""}, {""key""=>""Type"", ""value""=>""Steam""}, {""key""=>""Color"", ""value""=>""blue""}, {""key""=>""Cordless"", ""value""=>""No""}, {""key""=>""Temperature Control"", ""value""=>""Yes""}, {""key""=>""Indicator Light"", ""value""=>""Yes""}, {""key""=>""Spray"", ""value""=>""Yes""}, {""key""=>""Self Cleaning"", ""value""=>""Yes""}, {""key""=>""Automatic shut-off"", ""value""=>""Yes""}, {""key""=>""Steam Burst"", ""value""=>""Yes""}, {""key""=>""Power Consumption"", ""value""=>""1200 W""}, {""key""=>""Soleplate type"", ""value""=>""non stick coated""}, {""key""=>""Service Type"", ""value""=>""Customer care no.""}]}"
9,Casio Basic Calculator,"[""Pens & Stationery >> Calculators >> Casio Calculators >> Casio Basic (12 Digit)""]","[""http://img5a.flixcart.com/image/calculator/5/r/c/caltrix-caltrix-ct-462-pink-1100x1100-imae39h6ptmtgsre.jpeg"", ""http://img6a.flixcart.com/image/calculator/5/r/c/caltrix-caltrix-ct-462-pink-original-imae39h6ptmtgsre.jpeg""]",Specifications of CALTRIX Basic (12 Digit) General Display (Digits) 12 Type Basic Brand Name Casio Power Source SOLAR + BATTERY Model No Casio CT-462 PINK Dimensions Weight 350 g Length 150 mm Height 200 mm Width 100 mm,CALTRIX,"{""product_specification""=>[{""key""=>""Display (Digits)"", ""value""=>""12""}, {""key""=>""Type"", ""value""=>""Basic""}, {""key""=>""Brand Name"", ""value""=>""CALTRIX""}, {""key""=>""Power Source"", ""value""=>""SOLAR + BATTERY""}, {""key""=>""Model No"", ""value""=>""CALTRIX CT-462 PINK""}, {""key""=>""Weight"", ""value""=>""350 g""}, {""key""=>""Length"", ""value""=>""150 mm""}, {""key""=>""Height"", ""value""=>""200 mm""}, {""key""=>""Width"", ""value""=>""100 mm""}]}"
10,Envivo ENV-1359 Mobile/Tablet Speaker waterproof,"[""Mobiles & Accessories >> Mobile Accessories >> Speakers >> Envivo ENV-1359 Mobile/Tablet Speaker waterproof >> Envivo ENV-1359 Mobile/Tablet Speaker waterproof ...""]","[""http://img5a.flixcart.com/image/speaker/mobile-tablet-speaker/t/d/v/shortkut-enterprises-model-no-467-1100x1100-imaeggahdjzcbmj4.jpeg"", ""http://img6a.flixcart.com/image/speaker/mobile-tablet-speaker/t/d/v/shortkut-enterprises-model-no-467-original-imaeggahdjzcbmj4.jpeg"", ""http://img6a.flixcart.com/image/speaker/mobile-tablet-speaker/t/d/v/shortkut-enterprises-model-no-467-original-imaedyyqzcp2zvue.jpeg""]","Key Features of Shortkut enterprises Model no 460 Mobile/Tablet Speaker Type - Mobile/Tablet Speaker Configuration - Single Unit Channel Power Output - 3W Frequency Response - 20-20000Hz,Specifications of Shortkut enterprises Model no 460 Mobile/Tablet Speaker (Black, Single Unit Channel Channel) In The Box Sales Package 1 Speaker 1 usb cable General Brand Envivo ENV-1359 Mobile/Tablet Speaker waterproof Type Mobile/Tablet Speaker Configuration Single Unit Channel Channel Model ID Model no 460 Color Black Power Power Output 3W Power Source Rechargeable Battery Audio Features Impedance 4 ohms Total Power Output RMS (W) 3W Frequency Response 20-20000Hz Connectivity Memory Card Slot No",Shortkut enterprises,"{""product_specification""=>[{""key""=>""Sales Package"", ""value""=>""1 Speaker 1 usb cable""}, {""key""=>""Brand"", ""value""=>""Shortkut enterprises""}, {""key""=>""Type"", ""value""=>""Mobile/Tablet Speaker""}, {""key""=>""Configuration"", ""value""=>""Single Unit Channel Channel""}, {""key""=>""Model ID"", ""value""=>""Model no 460""}, {""key""=>""Color"", ""value""=>""Black""}, {""key""=>""Power Output"", ""value""=>""3W""}, {""key""=>""Power Source"", ""value""=>""Rechargeable Battery""}, {""key""=>""Impedance"", ""value""=>""4 ohms""}, {""key""=>""Total Power Output RMS (W)"", ""value""=>""3W""}, {""key""=>""Frequency Response"", ""value""=>""20-20000Hz""}, {""key""=>""Memory Card Slot"", ""value""=>""No""}]}"
